ssn,f_name,minit,l_name,job_title,salary,b_date,gender,education,zip_code,city,street
32747979,Amir,T,walid,attendant,7000,1979-02-05,M,"diplome tourist division and hotels",11556,"The Egyptian Museum","Egyptian Museum Building - Tahrir Square"
95252321,Ibrahim,Y,Amir,attendant,7800,1980-03-06,M,"diplome tourist division and hotels",11588,"Ain Shams Specialized Hospital","Hospital building - El Khalifa El maemon Street"
16161450,Ayoub,U,Omar,attendant,7000,1981-04-07,M,"diplome tourist division and hotels",11559,"El malek El Saleh ","No 8 El Siala ElRoda St. - El Manial"
42058942,Youssef,P,Abdelkader,attendant,7500,1982-05-08,M,"diplome tourist division and hotels",11523,Faggala,"No. 11 Sirajuddin St. Al-Fagala - Azbakiya"
52864290,Younès,O,Ahmed,attendant,8000,1983-06-09,M,"diplome tourist division and hotels",11562,"El Qasr al Aini","No 71 El Kasr El Aini St."
57187381,Wassim,P,Mohammed,attendant,7000,1984-07-10,M,"diplome tourist division and hotels",11563,"El Zaher","No 70 El Zaher St."
90105586,Ali,A,Taha,attendant,7000,1985-08-11,M,"diplome tourist division and hotels",11564,"Uzbek court complex","Courts Complex building - El Galaa St. - Uzbek"
74512931,Amine,S,Khaled,attendant,7500,1986-09-12,M,"diplome tourist division and hotels",11567,"Cairo Tower","Tower building / El Gazirah / Nile Palace"
40140478,Medhat,Z,Hamza,attendant,7000,1987-10-13,M,"diplome tourist division and hotels",11568,"?El Gazirah Zamalek","No 3 Shagara El Dor - Zamalek"
21945556,Youssef,X,Bilal,attendant,7000,1988-11-14,M,"diplome tourist division and hotels",11521,ElDawaeen,"No.15 Noubar Basha St. - Saida Zeinab - Cairo"
61081562,Aziz,C,Ibrahim,attendant,7000,1989-12-15,M,"diplome tourist division and hotels",11575,"El Tunsy","Sanada St. from Elkordy Street - El Khalifa - cairo"
72581757,Karim,B,Ashraf,attendant,7000,1990-02-16,M,"diplome tourist division and hotels",11576,"Sales Tax Shobra","Agha Khan Buildings - Shubra"
97494228,Mamadou,N,gamal,attendant,7500,1991-03-17,M,"diplome tourist division and hotels",11577,"El Qubaisi","No 39 Esmail El Falaky St. - Elzaher"
32014634,"Fahd ",D,glal,attendant,8000,1992-04-18,M,"diplome tourist division and hotels",11581,"El Emam El Shafei","No 176 El Emam El Shafei St. - El Khalifa"
93763380,Taha,F,anwar,attendant,7000,1993-05-19,M,"diplome tourist division and hotels",11584,"Ministry of International Cooperation","No 8 Adly St.- Ministry of International Cooperation"
12533980,Khaled,G,Amine,attendant,7000,1994-06-20,M,"diplome tourist division and hotels",11528,"Tenth District","Tenth District 14 El Mahdy Arafh St. - Tower seedbed"
20046157,Hamza,H,Medhat,attendant,7400,1995-07-21,M,"diplome tourist division and hotels",11835,"5th Settlement New Cairo","First Quarter - 5th Settlement - Nasr City"
95023229,Bilal,J,Youssef,attendant,7800,1996-08-22,M,"diplome tourist division and hotels",11571,"Mokattam City","Fountain Square - Mokattam City"
40533284,Ibrahim,K,Aziz,attendant,8000,1997-09-23,M,"diplome tourist division and hotels",11837,"El Shorouq City","El Shorouq City - Commercial Market"
26107194," Hassan",L,Karim,attendant,7000,1998-10-24,M,"diplome tourist division and hotels",11574,"Tawfeer El Alfy","No 1 El Alfy St. - Downtown Cairo"
51552081,amina,G,Mamadou,attendant,7500,1999-11-25,F,"diplome tourist division and hotels",11631,"Rod El Farag","No 137 Ebeid Street - Rod El Farag - Cairo"
74160746,Sara,F,Abbas,attendant,7000,2000-12-26,F,"diplome tourist division and hotels",11841,"Rehab City","Rehab City - New Cairo"
34285151,Yasmine,E,ashraf,attendant,8500,2001-02-27,F,"diplome tourist division and hotels",11555,"Manial El Roda West","No 115 Abdul Aziz Al Saude - El Manial"
35922745,Lyna,B,ayman,attendant,7000,2002-03-28,F,"diplome airline",11556,"The Egyptian Museum","Egyptian Museum Building - Tahrir Square"
75134291,Maria,N,bassem,attendant,7000,2003-04-29,F,"diplome airline",11588,"Ain Shams Specialized Hospital","Hospital building - El Khalifa El maemon Street"
30913540,Meriem,R,ehab,attendant,8500,1978-05-09,F,"diplome airline",11577,"El Qubaisi","No 39 Esmail El Falaky St. - Elzaher"
96884121,Karima,R,essam,attendant,7500,1979-06-10,F,"diplome airline",11581,"El Emam El Shafei","No 176 El Emam El Shafei St. - El Khalifa"
64820357,Melissa,R,farouk,attendant,7400,1980-07-11,F,"diplome airline",11584,"Ministry of International Cooperation","No 8 Adly St.- Ministry of International Cooperation"
60787775,Lydia,D,abdelfattah,attendant,7000,1981-08-12,F,"diplome airline",11528,"Tenth District","Tenth District 14 El Mahdy Arafh St. - Tower seedbed"
78310572,Shaimaa,C,fuad,attendant,7800,1982-09-13,F,"diplome airline",11835,"5th Settlement New Cairo","First Quarter - 5th Settlement - Nasr City"
99541637,Fatma,S,hatem,attendant,8000,1983-10-14,F,"diplome airline",11571,"Mokattam City","Fountain Square - Mokattam City"
92161552,Maha,N,hamza,attendant,7000,1984-11-15,F,"diplome airline",11554,"Abu Saud Old Egypt","East of the tunnel - field of ancient Egypt"
22086526,Reem,T,tamer,attendant,7000,1985-12-16,F,"diplome airline",11535,"Second Abbasid","No. 2 Elsarayat St. Abdu Pasha Square"
37995831,Farida,G,hisham,attendant,8500,1986-02-17,F,secondary,11536,"Cairo Sporting Club","Ahmed Maher Square island - Cairo"
79021788,Aya,K,hsni,attendant,7000,1987-03-18,F,secondary,11538,"the primary court of north cairo abassia","Abbasia Square , building of the primary court of north cairo"
68878821,Shahd,U,hossam,attendant,7000,1988-04-19,F,secondary,11541,"Cairos main parcels","Ataba Square - post office building"
75001883,Ashraqat,R,kamal,attendant,8000,1989-05-20,F,secondary,11549,"Elsabel Land","St. workshops telephone St. - Elsabel Land Shubra"
60753431,Sahar,E,kamel,attendant,7000,1990-06-21,F,secondary,11551,"Missions Islamic city","Islamic Missions City - study"
18060107,Fatin,B,magdi,attendant,7800,1991-07-22,F,secondary,11552,"Journalists Syndicate","Khaliq TharwatSt. - Journalists Syndicate building - Uzbek Cairo"
92079146,Dalal,V,mustafa,attendant,7400,1992-08-23,F,secondary,11553,"Manial El Rawda","No 9 El Manial Palace - Manial El Rawda"
88635327,Doha,X,nabil,attendant,7000,1993-09-24,F,secondary,11534,"Ministry of Tourism","No. 5 Adly Street - Ministry of Tourism / Azbakiya"
36405055,Fajr,X,nader,attendant,7000,1994-10-25,F,secondary,11511,"Cairo main","No 1 bdel Khalek Tharwat St. - Ataba Square"
44030574,Suha,C,naguib,attendant,8500,1995-11-26,F,secondary,11765,"Nasr City","St. Ahmed Fouad Naseem - Behind the Workforce - Nasr City - Cairo"
24330910,Rowan,V,nour,attendant,7800,1996-12-27,F,secondary,11728,Maadi,"Street 9 - Maadi"
19285567,Hosniya,B,Karim,attendant,7000,1997-02-28,F,secondary,11522,Ramses,"No. 57 amses Street - Azbakia"
43040787,Hasnaa,N,ahmed,attendant,8000,1998-03-29,F,secondary,11561,"El Zamalek","No 3 Brazil St. - El Zamalek"
29123378,Hosna,M,mohamed,attendant,7000,1999-04-02,F,secondary,11757,Heliopolis,"Post Street - El Korba - Masr El Gadeda"
17269439,Gamila,D,khaled,attendant,7800,2000-05-03,F,secondary,11835,"5th Settlement New Cairo","First Quarter - 5th Settlement - Nasr City"
54896683,Gamalat,A,Mohamed,attendant,7000,2001-06-04,F,secondary,11571,"Mokattam City","Fountain Square - Mokattam City"
52251241,Habiba,E," Youssef",attendant,7800,2002-07-05,F,secondary,11837,"El Shorouq City","El Shorouq City - Commercial Market"
44725567,Mary,R,walid,attendant,7800,2003-08-06,F,"diplome tourist division and hotels",11574,"Tawfeer El Alfy","No 1 El Alfy St. - Downtown Cairo"
36969958,Marie,Y,abdelnassar,attendant,7800,2004-09-07,F,"diplome tourist division and hotels",11631,"Rod El Farag","No 137 Ebeid Street - Rod El Farag - Cairo"
63530617,Mariam,T,ismail,captain,9000,1994-10-25,F,"Bachelor of aviiation",11841,"Rehab City","Rehab City - New Cairo"
39849186," Marina",Y,Amir ,captain,9500,1995-11-26,F,"Bachelor of aviiation",11588,"Ain Shams Specialized Hospital","Hospital building - El Khalifa El maemon Street"
31751135,Irene,I,mounir,copilot,9000,1996-12-27,F,"Bachelor of aviiation",11559,"El malek El Saleh ","No 8 El Siala ElRoda St. - El Manial"
62992334,Malak,O,adel,copilot,9600,1997-02-28,F,"Bachelor of aviiation",11523,Faggala,"No. 11 Sirajuddin St. Al-Fagala - Azbakiya"
36969959,Mohamed,A,abdelnassar,"security guard",7000,1998-08-10,M,secondary,11571,"Mokattam City","Fountain Square - Mokattam City"
36959958,abdelnassar,S," Youssef","security guard",7500,1998-08-09,M,secondary,11574,"Tawfeer El Alfy","No 5 El Alfy St. - Downtown Cairo"
46969958," Youssef",D,walid,"security guard",7200,1995-08-09,M,"diplome tourist division and hotels",11574,"Tawfeer El Alfy","No 6 El Alfy St. - Downtown Cairo"
36985958,Mohamed,F,Mohamed,"security guard",7100,1998-11-09,M,secondary,11571,"Mokattam City","Fountain Square - Mokattam City"
79969958,walid,T," Youssef","security guard",7300,1988-11-09,M,"diplome tourist division and hotels",11571,"Mokattam City","Fountain Square - Mokattam City"
36901958,abdelnassar,Y,Mohamed,"security guard",7400,1998-01-01,M,"diplome tourist division and hotels",11574,"Tawfeer El Alfy","No 9 El Alfy St. - Downtown Cairo"
